"Time Series Data"
"DBKEY","STATION","TYPE","UNITS","FQ","STAT","STRATA","OPNUM","RCDR","AGENCY","START","END","CNTY","LAT","LONG","SEC","TWP","RNG","ALTERNATE ID"
"91472","S29_S","FLOW","cfs","DA","MEAN","0","","DRV","WMD","1985","2025","DAD","255544","800905","16","52","42","S29-S-Q",
 
"Station","DBKEY","Daily Date","Data Value","Qualifier","Revision Date"
"S29_S","91472","02-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","03-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","04-DEC-1985","332.48","","15-OCT-2019"
"S29_S","91472","05-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","06-DEC-1985","675.71","","15-OCT-2019"
"S29_S","91472","07-DEC-1985","538.05","","15-OCT-2019"
"S29_S","91472","08-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","09-DEC-1985","332.07","E","15-OCT-2019"
"S29_S","91472","10-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","11-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","12-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","13-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","14-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","15-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","16-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","17-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","18-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","19-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","20-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","21-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","22-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","23-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","24-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","25-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","26-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","27-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","28-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","29-DEC-1985","72.33","","15-OCT-2019"
"S29_S","91472","30-DEC-1985","387.28","","15-OCT-2019"
"S29_S","91472","31-DEC-1985","","M","14-JUN-2017"
"S29_S","91472","01-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","02-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","03-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","04-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","05-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","06-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","07-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","08-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","09-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","10-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","11-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","12-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","13-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","14-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","15-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","16-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","17-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","18-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","19-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","20-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","21-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","22-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","23-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","24-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","25-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","26-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","27-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","28-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","29-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","30-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","31-JAN-1986","","M","14-JUN-2017"
"S29_S","91472","01-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","02-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","03-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","04-FEB-1986","20.17","","15-OCT-2019"
"S29_S","91472","05-FEB-1986","20.46","E","15-OCT-2019"
"S29_S","91472","06-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","07-FEB-1986","13.00","","15-OCT-2019"
"S29_S","91472","08-FEB-1986","203.73","","15-OCT-2019"
"S29_S","91472","09-FEB-1986","173.61","","15-OCT-2019"
"S29_S","91472","10-FEB-1986","21.53","","15-OCT-2019"
"S29_S","91472","11-FEB-1986","21.58","","15-OCT-2019"
"S29_S","91472","12-FEB-1986","22.87","","15-OCT-2019"
"S29_S","91472","13-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","14-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","15-FEB-1986","300.86","","15-OCT-2019"
"S29_S","91472","16-FEB-1986","42.07","","15-OCT-2019"
"S29_S","91472","17-FEB-1986","19.30","","15-OCT-2019"
"S29_S","91472","18-FEB-1986","367.08","","15-OCT-2019"
"S29_S","91472","19-FEB-1986","164.86","","15-OCT-2019"
"S29_S","91472","20-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","21-FEB-1986","23.61","E","15-OCT-2019"
"S29_S","91472","22-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","23-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","24-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","25-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","26-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","27-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","28-FEB-1986","","M","14-JUN-2017"
"S29_S","91472","01-MAR-1986","237.48","","15-OCT-2019"
"S29_S","91472","02-MAR-1986","39.49","","15-OCT-2019"
"S29_S","91472","03-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","04-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","05-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","06-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","07-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","08-MAR-1986","27.11","","15-OCT-2019"
"S29_S","91472","09-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","10-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","11-MAR-1986","430.43","","15-OCT-2019"
"S29_S","91472","12-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","13-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","14-MAR-1986","354.84","","15-OCT-2019"
"S29_S","91472","15-MAR-1986","376.86","","15-OCT-2019"
"S29_S","91472","16-MAR-1986","385.97","","15-OCT-2019"
"S29_S","91472","17-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","18-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","19-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","20-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","21-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","22-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","23-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","24-MAR-1986","160.77","","15-OCT-2019"
"S29_S","91472","25-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","26-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","27-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","28-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","29-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","30-MAR-1986","983.74","","15-OCT-2019"
"S29_S","91472","31-MAR-1986","","M","14-JUN-2017"
"S29_S","91472","01-APR-1986","","M","14-JUN-2017"
"S29_S","91472","02-APR-1986","700.22","","15-OCT-2019"
"S29_S","91472","03-APR-1986","685.61","E","15-OCT-2019"
"S29_S","91472","04-APR-1986","","M","14-JUN-2017"
"S29_S","91472","05-APR-1986","","M","14-JUN-2017"
"S29_S","91472","06-APR-1986","307.65","","15-OCT-2019"
"S29_S","91472","07-APR-1986","308.74","","15-OCT-2019"
"S29_S","91472","08-APR-1986","","M","14-JUN-2017"
"S29_S","91472","09-APR-1986","","M","14-JUN-2017"
"S29_S","91472","10-APR-1986","","M","14-JUN-2017"
"S29_S","91472","11-APR-1986","","M","14-JUN-2017"
"S29_S","91472","12-APR-1986","275.91","","15-OCT-2019"
"S29_S","91472","13-APR-1986","380.49","","15-OCT-2019"
"S29_S","91472","14-APR-1986","","M","14-JUN-2017"
"S29_S","91472","15-APR-1986","143.09","","15-OCT-2019"
"S29_S","91472","16-APR-1986","","M","14-JUN-2017"
"S29_S","91472","17-APR-1986","","M","14-JUN-2017"
"S29_S","91472","18-APR-1986","","M","14-JUN-2017"
"S29_S","91472","19-APR-1986","101.29","","15-OCT-2019"
"S29_S","91472","20-APR-1986","24.50","","15-OCT-2019"
"S29_S","91472","21-APR-1986","","M","14-JUN-2017"
"S29_S","91472","22-APR-1986","","M","14-JUN-2017"
"S29_S","91472","23-APR-1986","20.18","","15-OCT-2019"
"S29_S","91472","24-APR-1986","","M","14-JUN-2017"
"S29_S","91472","25-APR-1986","","M","14-JUN-2017"
"S29_S","91472","26-APR-1986","122.15","","15-OCT-2019"
"S29_S","91472","27-APR-1986","100.50","","15-OCT-2019"
"S29_S","91472","28-APR-1986","","M","14-JUN-2017"
"S29_S","91472","29-APR-1986","","M","14-JUN-2017"
"S29_S","91472","30-APR-1986","","M","14-JUN-2017"
"S29_S","91472","01-MAY-1986","19.78","","15-OCT-2019"
"S29_S","91472","02-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","03-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","04-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","05-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","06-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","07-MAY-1986","18.29","E","15-OCT-2019"
"S29_S","91472","08-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","09-MAY-1986","92.59","E","15-OCT-2019"
"S29_S","91472","10-MAY-1986","384.89","","15-OCT-2019"
"S29_S","91472","11-MAY-1986","205.90","","15-OCT-2019"
"S29_S","91472","12-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","13-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","14-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","15-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","16-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","17-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","18-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","19-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","20-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","21-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","22-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","23-MAY-1986","518.89","","15-OCT-2019"
"S29_S","91472","24-MAY-1986","310.63","","15-OCT-2019"
"S29_S","91472","25-MAY-1986","129.63","","15-OCT-2019"
"S29_S","91472","26-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","27-MAY-1986","","M","14-JUN-2017"
"S29_S","91472","28-MAY-1986","18.88","","15-OCT-2019"
"S29_S","91472","29-MAY-1986","23.06","","15-OCT-2019"
"S29_S","91472","30-MAY-1986","161.51","","15-OCT-2019"
"S29_S","91472","31-MAY-1986","17.86","","15-OCT-2019"
"S29_S","91472","01-JUN-1986","18.31","","15-OCT-2019"
"S29_S","91472","02-JUN-1986","22.44","","15-OCT-2019"
"S29_S","91472","03-JUN-1986","24.42","","15-OCT-2019"
"S29_S","91472","04-JUN-1986","19.82","","15-OCT-2019"
"S29_S","91472","05-JUN-1986","17.18","","15-OCT-2019"
"S29_S","91472","06-JUN-1986","15.84","E","15-OCT-2019"
"S29_S","91472","07-JUN-1986","","M","14-JUN-2017"
"S29_S","91472","08-JUN-1986","318.29","","15-OCT-2019"
"S29_S","91472","09-JUN-1986","661.33","","15-OCT-2019"
